"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"BOA","BOADICEA RESOURCES LIMITED","2012-10-11","Materials",12431983
"BOC","BOUGAINVILLE COPPER LIMITED","1970-12-31","Materials",152403750
"BOD","BOD AUSTRALIA LIMITED.","2016-10-27","Retailing",15344468
"BOE","BOSS ENERGY LTD","2007-07-25","Materials",733364033
"BOL","BOOM LOGISTICS LIMITED","2003-10-14","Capital Goods",74860486
"BOQ","BANK OF QUEENSLAND LIMITED.","1971-08-24","Banks",4793986857
"BOT","BOTANIX PHARMACEUTICALS LTD","1985-01-24","Pharmaceuticals, Biotechnology & Life Sciences",72985656
"BPH","BPH ENERGY LTD","2004-08-06","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"BPM","BPM MINERALS LIMITED","2020-12-30","Materials",11038838
"BPP","BABYLON PUMP & POWER LIMITED","1996-12-13","Capital Goods",10361498
"BPT","BEACH ENERGY LIMITED","1972-06-30","Energy",3775607201
"BRB","BREAKER RESOURCES NL","2012-04-20","Materials",78201823
"BRG","BREVILLE GROUP LIMITED","1999-05-25","Consumer Durables & Apparel",2873593797
"BRI","BIG RIVER INDUSTRIES LIMITED","2017-05-01","Materials",212969510
"BRK","BROOKSIDE ENERGY LIMITED","2005-10-31","Energy",64210326
"BRL","BATHURST RESOURCES LIMITED.","2013-06-21","Materials",265990094
"BRN","BRAINCHIP HOLDINGS LTD","2011-11-09","Software & Services",1902941980
"BRU","BURU ENERGY LIMITED","2008-09-01","Energy",91535308
"BRV","BIG RIVER GOLD LTD","2004-02-06","Materials",72720620
"BRX","BELARAROX LIMITED","2022-01-28","Materials",30602013
"BSA","BSA LIMITED","1999-11-15","Commercial & Professional Services",46245993
"BSE","BASE RESOURCES LIMITED","2008-10-02","Materials",365183674
"BSL","BLUESCOPE STEEL LIMITED","2002-07-15","Materials",8606814514
"BST","BEST & LESS GROUP HOLDINGS LTD","2021-07-26","Retailing",376100790
"BSX","BLACKSTONE MINERALS LIMITED","2017-01-23","Materials",136371794
"BTC","BTC HEALTH LTD","2000-08-29","Not Applic",14937857
"BTH","BIGTINCAN HOLDINGS LIMITED","2017-03-24","Software & Services",296764592
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","2014-11-21","Diversified Financials",181871872
"BTN","BUTN LIMITED","2021-07-06","Diversified Financials",28805400
"BTR","BRIGHTSTAR RESOURCES LIMITED","2003-12-05","Materials",14230939
"BUB","BUBS AUSTRALIA LIMITED","1993-10-05","Food, Beverage & Tobacco",260429622
"BUD","BUDDY TECHNOLOGIES LTD","2006-12-18","Consumer Durables & Apparel","N/A"
"BUR","BURLEY MINERALS LTD","2021-07-07","Materials",6710000
"BUX","BUXTON RESOURCES LIMITED","2007-10-23","Materials",12103815
"BUY","BOUNTY OIL & GAS NL","2002-02-05","Energy",11649258
"BVR","BELLAVISTA RESOURCES LTD",,"Materials",0
"BVS","BRAVURA SOLUTIONS LIMITED.","2016-11-16","Software & Services",396124633
"BWF","BLACKWALL LIMITED","2011-10-21","Diversified Financials",48913173
"BWP","BWP TRUST","1998-09-16","Real Estate",2646621268
"BWX","BWX LIMITED","2015-11-11","Household & Personal Products",217879068
"BXB","BRAMBLES LIMITED","2006-11-27","Commercial & Professional Services",15964441611
"BXN","BIOXYNE LIMITED","2000-12-14","Household & Personal Products",8321890
"BYE","BYRON ENERGY LIMITED","2005-06-03","Energy",189244143
"BYH","BRYAH RESOURCES LIMITED","2017-10-17","Materials",10179323
"BYI","BEYOND INTERNATIONAL LIMITED","1987-06-12","Media & Entertainment",33735332
"C1X","COSMOS EXPLORATION LIMITED","2021-12-01","Materials",5425000
"C29","C29 METALS LIMITED","2021-11-03","Materials",6090208
"C6C","COPPER MOUNTAIN MINING CORPORATION","2018-04-06","Materials",600119285
"C79","CHRYSOS CORPORATION LIMITED","2022-05-06","Commercial & Professional Services",459759420
"CAA","CAPRAL LIMITED","1986-11-20","Materials",154930612
"CAD","CAENEUS MINERALS LTD","2000-07-11","Materials",30293933
"CAE","CANNINDAH RESOURCES LIMITED","2005-05-20","Materials",138772939
"CAF","CENTREPOINT ALLIANCE LIMITED","2002-06-25","Diversified Financials",50929291
"CAG","CAPE RANGE LTD","2017-11-30","Software & Services",21354368
"CAI","CALIDUS RESOURCES LIMITED","1987-03-13","Materials",331895032
"CAJ","CAPITOL HEALTH LIMITED","2006-06-09","Health Care Equipment & Services",349142867
"CAM","CLIME CAPITAL LIMITED","2004-02-03","Not Applic",117812439
"CAN","CANN GROUP LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences",110005410
"CAQ","CAQ HOLDINGS LIMITED","2005-07-25","Real Estate",9331222
"CAR","CARSALES.COM LIMITED.","2009-09-10","Media & Entertainment",5371235456
"CAT","CATAPULT GROUP INTERNATIONAL LTD","2014-12-19","Technology Hardware & Equipment",264394231
"CAU","CRONOS AUSTRALIA LIMITED","2019-11-07","Health Care Equipment & Services",137656355
"CAV","CARNAVALE RESOURCES LIMITED","2007-03-15","Materials",24466966
"CAY","CANYON RESOURCES LIMITED","2010-06-15","Materials","N/A"
"CAZ","CAZALY RESOURCES LIMITED","2003-10-31","Materials",13720406
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","1991-09-12","Banks",177123448391
"CBE","COBRE LIMITED","2020-01-31","Materials",7443315
"CBL","CONTROL BIONICS LIMITED","2020-12-07","Health Care Equipment & Services",20424124
"CBO","COBRAM ESTATE OLIVES LIMITED","2021-08-11","Food, Beverage & Tobacco",700505852
"CBR","CARBON REVOLUTION LIMITED","2019-11-29","Automobiles & Components",103427014
"CBY","CANTERBURY RESOURCES LIMITED","2019-03-07","Materials",7391912
"CCA","CHANGE FINANCIAL LIMITED","2016-06-30","Software & Services",29803842
"CCE","CARNEGIE CLEAN ENERGY LIMITED","1993-10-26","Utilities",30205147
"CCG","COMMS GROUP LTD","2017-12-21","Telecommunication Services",33602810
"CCJ","COUNTY INTERNATIONAL LIMITED","2011-11-15","Energy","N/A"
"CCP","CREDIT CORP GROUP LIMITED","2000-09-04","Diversified Financials",1529617891
"CCR","CREDIT CLEAR LIMITED","2020-10-27","Software & Services",159839144
"CCV","CASH CONVERTERS INTERNATIONAL","1997-02-07","Diversified Financials",153748529
"CCX","CITY CHIC COLLECTIVE LIMITED","1998-05-28","Retailing",586433428
"CCZ","CASTILLO COPPER LIMITED","2010-12-14","Materials",24690602
"CD1","CD PRIVATE EQUITY FUND I","2012-08-14","Not Applic",42134813
"CD2","CD PRIVATE EQUITY FUND II","2013-04-09","Not Applic",77266056
"CD3","CD PRIVATE EQUITY FUND III","2016-07-27","Not Applic",109843341
"CDA","CODAN LIMITED","2003-11-27","Technology Hardware & Equipment",1202878168
"CDD","CARDNO LIMITED","2004-05-20","Commercial & Professional Services",62106454
"CDM","CADENCE CAPITAL LIMITED","2006-12-05","Not Applic",278425984
"CDO","CADENCE OPPORTUNITIES FUND LIMITED.","2021-11-19","Not Applic",39455918
"CDP","CARINDALE PROPERTY TRUST","1996-11-28","Real Estate",329104958
"CDR","CODRUS MINERALS LIMITED","2021-06-23","Materials",6750000
"CDT","CASTLE MINERALS LIMITED","2006-05-02","Materials",39979719
"CDX","CARDIEX LIMITED","2005-11-09","Health Care Equipment & Services",35185184
"CE1","CALIMA ENERGY LIMITED","2006-07-28","Energy",101488898
"CEL","CHALLENGER EXPLORATION LIMITED","2007-11-07","Energy",271098667
"CEN","CONTACT ENERGY LIMITED","2015-09-24","Utilities",5737691527
"CF1","COMPLII FINTECH SOLUTIONS LTD","2001-12-18","Software & Services",33370880
"CFO","CFOAM LIMITED","2016-10-26","Capital Goods",3669203
"CG1","CARBONXT GROUP LIMITED","2018-01-23","Materials",39749265
"CGA","CONTANGO ASSET MANAGEMENT LIMITED","2004-09-30","Diversified Financials",31509357
"CGB","CANN GLOBAL LIMITED","2008-01-14","Pharmaceuticals, Biotechnology & Life Sciences",6730712
"CGC","COSTA GROUP HOLDINGS LIMITED","2015-07-24","Food, Beverage & Tobacco",1379703004
"CGF","CHALLENGER LIMITED","2003-12-23","Diversified Financials","N/A"
"CGN","CRATER GOLD MINING LIMITED","2002-11-01","Materials","N/A"
"CGO","CPT GLOBAL LIMITED","2000-09-08","Software & Services",19555357
"CGS","COGSTATE LTD","2004-02-13","Health Care Equipment & Services",286002747
"CHC","CHARTER HALL GROUP","2005-06-10","Real Estate",6295592719
"CHK","COHIBA MINERALS LIMITED","2012-02-01","Materials",15172427
"CHKNF","COHIBA MINERALS LIMITED","2012-02-01","Materials",15172427
"CHL","CAMPLIFY HOLDINGS LIMITED","2021-06-28","Transportation",85603871
"CHM","CHIMERIC THERAPEUTICS LIMITED","2021-01-18","Pharmaceuticals, Biotechnology & Life Sciences",48326273
"CHN","CHALICE MINING LIMITED","2006-03-24","Materials",2030734271
"CHR","CHARGER METALS NL","2021-07-09","Materials",28549380
"CHZ","CHESSER RESOURCES LIMITED","2007-05-29","Materials",53831326
"CI1","CREDIT INTELLIGENCE LTD","2008-07-10","Commercial & Professional Services",9616442
"CIA","CHAMPION IRON LIMITED","2007-06-08","Materials",3724771626
"CII","CI RESOURCES LIMITED","1987-07-24","Materials","N/A"
"CIN","CARLTON INVESTMENTS LIMITED","1970-06-30","Not Applic",837923464
"CIO","CONNECTED IO LIMITED","1984-08-16","Technology Hardware & Equipment",12716779
"CIP","CENTURIA INDUSTRIAL REIT","2012-12-13","Real Estate",2190510691
"CIW","CLIME INVESTMENT MANAGEMENT LTD","2000-12-15","Diversified Financials",41203791
"CKA","COKAL LIMITED","2000-04-17","Materials",131452857
"CKF","COLLINS FOODS LIMITED","2011-08-04","Consumer Services",1116781773
"CL8","CARLY HOLDINGS LIMITED","1996-09-09","Retailing",4885523
"CLA","CELSIUS RESOURCES LIMITED.","1988-03-24","Materials",23207850
"CLB","CANDY CLUB HOLDINGS LIMITED","2019-02-19","Food & Staples Retailing",27927413
"CLE","CYCLONE METALS LIMITED","2001-06-07","Materials",31318303
"CLG","CLOSE THE LOOP LTD.","2021-12-02","Commercial & Professional Services",109708988
"CLH","COLLECTION HOUSE LIMITED","2000-10-04","Diversified Financials",14904557
"CLT","CELLNET GROUP LIMITED","1999-11-17","Technology Hardware & Equipment",7551434
"CLU","CLUEY LTD","2020-12-09","Consumer Services",123953720
"CLV","CLOVER CORPORATION LIMITED","1999-11-30","Materials",218035497
"CLW","CHARTER HALL LONG WALE REIT","2016-11-08","Real Estate",3549711338
"CLX","CTI LOGISTICS LIMITED","1987-12-02","Transportation",79607346
"CLZ","CLASSIC MINERALS LTD","2013-05-24","Materials",31024647
"CM8","CROWD MEDIA HOLDINGS LIMITED","1999-12-16","Media & Entertainment",22774527
"CMD","CASSIUS MINING LIMITED","2006-08-10","Materials","N/A"
"CML","CHASE MINING CORPORATION LIMITED","2007-11-15","Materials",5617593
"CMM","CAPRICORN METALS LTD","2008-07-07","Materials",1326542146
"CMO","COSMO METALS LIMITED","2022-01-31","Materials",6818850
"CMP","COMPUMEDICS LIMITED","2000-12-21","Health Care Equipment & Services",31003516
"CMW","CROMWELL PROPERTY GROUP","1973-02-22","Real Estate",2121282026
"CMX","CHEMX MATERIALS LIMITED","2022-01-18","Materials",18608208
"CNB","CARNABY RESOURCES LIMITED","2016-08-30","Materials",151429692
"CNI","CENTURIA CAPITAL GROUP","2002-03-26","Real Estate",1807554634
"CNJ","CONICO LTD","2007-06-18","Materials",36807907
"CNJN","CONICO LTD","2007-06-18","Materials",36807907
"CNQ","CLEAN TEQ WATER LIMITED","2021-07-02","Commercial & Professional Services",24566396
"CNR","CANNON RESOURCES LIMITED","2021-08-12","Materials",28199086
"CNU","CHORUS LIMITED","2011-11-21","Telecommunication Services",2948918346
"CNW","CIRRUS NETWORKS HOLDINGS LIMITED","2004-02-10","Software & Services",26970185
"COB","COBALT BLUE HOLDINGS LIMITED","2017-02-02","Materials",262847882
"COD","CODA MINERALS LTD","2020-10-28","Materials",45262850
"COE","COOPER ENERGY LIMITED","2002-03-13","Energy",449002015
"COF","CENTURIA OFFICE REIT","2014-12-10","Real Estate",1212593970
"COG","COG FINANCIAL SERVICES LIMITED","2003-01-28","Diversified Financials",319449173
"COH","COCHLEAR LIMITED","1995-12-04","Health Care Equipment & Services",14093681888
"COI","COMET RIDGE LIMITED","2004-04-16","Energy",146205856
"COL","COLES GROUP LIMITED.","2018-11-21","Food & Staples Retailing",23810586270
"COO","CORUM GROUP LIMITED","1971-07-28","Software & Services",26854056
"COS","COSOL LIMITED","2020-01-24","Software & Services",79364778
"COY","COPPERMOLY LIMITED","2008-01-31","Materials",17551655
"CPH","CRESO PHARMA LIMITED","2016-10-20","Pharmaceuticals, Biotechnology & Life Sciences",68703503
"CPM","COOPER METALS LIMITED","2021-11-19","Materials",17200001
"CPN","CASPIN RESOURCES LIMITED","2020-11-25","Materials",49328869
"CPO","CULPEO MINERALS LIMITED","2021-09-10","Materials",8002795
"CPT","CIPHERPOINT LIMITED","2007-01-03","Software & Services",6513400
"CPU","COMPUTERSHARE LIMITED.","1994-05-27","Software & Services",14272161503
"CPV","CLEARVUE TECHNOLOGIES LIMITED","2018-05-25","Capital Goods",57169893
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","2003-05-22","Real Estate",1301094578
"CQR","CHARTER HALL RETAIL REIT","1995-11-15","Real Estate",2493475023
"CR1","CONSTELLATION RESOURCES LIMITED","2018-07-30","Materials",11228721
"CR9","CORELLA RESOURCES LTD","2008-01-15","Materials",16574995
"CRB","CARBINE RESOURCES LIMITED","2007-03-16","Materials",9595439
"CRL","COMET RESOURCES LIMITED","1994-03-02","Materials","N/A"
"CRM","CARBON MINERALS LIMITED","1980-12-31","Energy","N/A"
"CRN","CORONADO GLOBAL RESOURCES INC.","2018-10-23","Materials",3906137191
"CRR","CRITICAL RESOURCES LIMITED","2010-12-03","Materials",119009035
"CRS","CAPRICE RESOURCES LTD","2018-12-05","Materials",7317889
"CSE","COPPER STRIKE LIMITED","2004-11-24","Materials",21160199
"CSF","CATALANO SEAFOOD LTD","2022-03-11","Food, Beverage & Tobacco",14422320
"CSL","CSL LIMITED","1994-06-08","Pharmaceuticals, Biotechnology & Life Sciences",131987516884
"CSR","CSR LIMITED","1962-03-31","Materials",2412352397
"CSS","CLEAN SEAS SEAFOOD LIMITED","2005-12-12","Food, Beverage & Tobacco",92597502
"CST","CASTILE RESOURCES LTD","2020-02-14","Materials",35947822
"CSX","CLEANSPACE HOLDINGS LIMITED","2020-10-23","Health Care Equipment & Services",82025792
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","1987-10-08","Technology Hardware & Equipment",10298403
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","2010-12-15","Consumer Services",3169511606
"CTE","CRYOSITE LIMITED","2002-05-09","Pharmaceuticals, Biotechnology & Life Sciences",29285738
"CTM","CENTAURUS METALS LIMITED","1989-01-12","Materials",512527528
"CTO","CITIGOLD CORPORATION LIMITED","1993-12-23","Materials",17001955
"CTP","CENTRAL PETROLEUM LIMITED","2006-03-07","Energy",90738431
"CTQ","CARETEQ LIMITED","2022-01-10","Health Care Equipment & Services",13592254
"CTT","CETTIRE LIMITED","2020-12-18","Retailing",192525301
"CTV","COLORTV LIMITED",,,1236985
"CU6","CLARITY PHARMACEUTICALS LTD","2021-08-25","Pharmaceuticals, Biotechnology & Life Sciences",104422181
"CUE","CUE ENERGY RESOURCES LIMITED","1995-12-11","Energy",54453338
"CUF","CUFE LTD","2005-10-13","Materials",26841146
"CUL","CULLEN RESOURCES LIMITED","1988-11-23","Materials",7323459
"CUP","COUNTPLUS LIMITED","2010-12-22","Commercial & Professional Services",67391310
"CUS","COPPER SEARCH LIMITED","2021-09-15","Materials",23074224
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","2001-02-13","Pharmaceuticals, Biotechnology & Life Sciences",799953372
"CV1","CV CHECK LTD","2015-09-08","Software & Services",45594399
"CVC","CVC LIMITED","1985-06-27","Diversified Financials",257013007
"CVL","CIVMEC LIMITED","2018-06-22","Capital Goods",301470000
"CVN","CARNARVON ENERGY LIMITED","1984-08-16","Energy",414042988
"CVR","CAVALIER RESOURCES LIMITED",,"Materials",0
"CVV","CARAVEL MINERALS LIMITED","2006-11-03","Materials",87716254
"CVW","CLEARVIEW WEALTH LIMITED","2003-12-11","Diversified Financials",489168600
"CWL","CONSOLIDATED FINANCIAL HOLDINGS LIMITED","2007-10-23","Software & Services","N/A"
"CWN","CROWN RESORTS LIMITED","2007-12-03","Consumer Services",8681169034
"CWP","CEDAR WOODS PROPERTIES LIMITED","1994-08-31","Real Estate",348222092
"CWX","CARAWINE RESOURCES LIMITED","2017-12-14","Materials",19296809
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","2005-05-03","Commercial & Professional Services",6208388658
"CXL","CALIX LIMITED","2018-07-20","Materials",1206389425
"CXM","CENTREX LIMITED","2006-07-19","Materials",81926087
"CXO","CORE LITHIUM LTD","2011-02-11","Materials",2148117874
"CXU","CAULDRON ENERGY LIMITED","2005-01-28","Energy",8031169
"CXX","CRADLE RESOURCES LIMITED","2011-09-16","Materials","N/A"
"CXZ","CONNEXION TELEMATICS LTD","1974-01-01","Software & Services",8810318
"CY5","CYGNUS GOLD LIMITED","2018-01-15","Materials",17107871
"CYC","CYCLOPHARM LIMITED","2007-01-18","Health Care Equipment & Services",126989759
"CYG","COVENTRY GROUP LIMITED","1966-01-27","Capital Goods",116116548
"CYL","CATALYST METALS LIMITED","2006-07-26","Materials",162452562
"CYM","CYPRIUM METALS LIMITED","1985-04-26","Materials",84722882
"CYP","CYNATA THERAPEUTICS LIMITED","2007-12-20","Pharmaceuticals, Biotechnology & Life Sciences",54445106
"CYQ","CYCLIQ GROUP LTD","2007-11-21","Consumer Durables & Apparel",6602817
"CZL","CONSOLIDATED ZINC LIMITED","2006-06-19","Materials",8432588
"CZN","CORAZON MINING LIMITED","2005-06-30","Materials",17699586
"CZR","CZR RESOURCES LTD","2006-08-29","Materials",48808526
"D2O","DUXTON WATER LIMITED","2016-09-16","Utilities",184302716
"DAF","DISCOVERY ALASKA LIMITED","2011-09-22","Materials",10045561
"DAL","DALAROO METALS LTD","2021-09-28","Materials",7560000
"DBF","DUXTON FARMS LTD","2018-02-08","Food, Beverage & Tobacco",76117135
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","2020-12-08","Transportation",1031184267
"DBO","DIABLO RESOURCES LIMITED","2021-10-12","Materials",5513000
"DC2","DC TWO LIMITED","2020-11-10","Software & Services",4660333
"DCC","DIGITALX LIMITED","1989-02-06","Software & Services",39349534
"DCG","DECMIL GROUP LIMITED","2005-04-22","Capital Goods",17840324
"DCL","DOMACOM LIMITED","2016-11-07","Diversified Financials","N/A"
"DCN","DACIAN GOLD LIMITED","2012-11-14","Materials",217015413
"DCX","DISCOVEX RESOURCES LIMITED","2007-12-13","Materials",17980649
"DDB","DYNAMIC GROUP HOLDINGS LIMITED","2020-08-06","Capital Goods",40780215
"DDD","3D RESOURCES LIMITED","2007-03-21","Materials",12545616
"DDH","DDH1 LIMITED","2021-03-09","Materials",358477708
"DDR","DICKER DATA LIMITED","2011-01-24","Technology Hardware & Equipment",2106586273
"DDT","DATADOT TECHNOLOGY LIMITED","2005-01-12","Automobiles & Components",11194825
"DEG","DE GREY MINING LIMITED","2002-07-03","Materials",1458153048
"DEL","DELOREAN CORPORATION LIMITED","2021-04-12","Utilities",30200928
"DEM","DE.MEM LIMITED","2017-04-07","Utilities",42349991
"DEV","DEVEX RESOURCES LIMITED","2000-10-03","Energy",116248069
"DEX","DUKE EXPLORATION LIMITED","2020-11-10","Materials",11596159
"DGH","DESANE GROUP HOLDINGS LIMITED","1987-09-04","Real Estate",47046489
"DGL","DGL GROUP LIMITED","2021-05-24","Materials",837577644
"DGO","DGO GOLD LIMITED","2007-12-21","Materials",229027145
"DGR","DGR GLOBAL LIMITED","2003-08-21","Materials",72328972
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","2017-11-16","Media & Entertainment",2027619461
"DJW","DJERRIWARRH INVESTMENTS LIMITED","1995-06-28","Not Applic",723336847
"DKM","DUKETON MINING LIMITED","2014-08-04","Materials",40881871
"DLC","DELECTA LIMITED","1987-01-15","Retailing","N/A"
"DLM","DOMINION MINERALS LIMITED","2004-03-19","Pharmaceuticals, Biotechnology & Life Sciences",15357834
"DLT","DELTA DRONE INTERNATIONAL LIMITED","2018-06-18","Technology Hardware & Equipment",7674074
"DM1","DESERT METALS LIMITED","2020-12-18","Materials",18954545
"DMC","DESIGN MILK CO LIMITED","1997-03-24","Retailing",13065405
"DME","DOME GOLD MINES LIMITED","2013-10-22","Materials",92639796
"DMG","DRAGON MOUNTAIN GOLD LIMITED","2007-07-31","Materials","N/A"
"DMM","DMC MINING LIMITED.","2021-12-22","Materials",5793750
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","2005-05-16","Consumer Services",6022421336
"DNA","DONACO INTERNATIONAL LIMITED","2004-12-23","Consumer Services",43238628
"DNK","DANAKALI LIMITED","2003-10-17","Materials",103133617
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","2020-12-04","Health Care Equipment & Services",86184334
"DOR","DORIEMUS PLC","2017-09-29","Energy",10832049
"DOU","DOUUGH LIMITED","2004-06-15","Telecommunication Services",19810975
"DOW","DOWNER EDI LIMITED","1990-12-20","Commercial & Professional Services",3803751252
"DRA","DRA GLOBAL LIMITED","2021-07-09","Capital Goods",108331948
"DRE","DREADNOUGHT RESOURCES LTD","2006-10-31","Materials",110708658
"DRM","DEMETALLICA LIMITED",,"Class Pend",0
"DRO","DRONESHIELD LIMITED","2016-06-22","Capital Goods",95159237
"DRR","DETERRA ROYALTIES LIMITED","2020-10-23","Materials",2351939383
"DRX","DIATREME RESOURCES LIMITED","2005-06-22","Materials",75954566
"DSE","DROPSUITE LIMITED","1985-12-12","Software & Services",129554937
"DSK","DUSK GROUP LIMITED","2020-11-02","Retailing",130762517
"DTC","DAMSTRA HOLDINGS LIMITED","2019-10-16","Software & Services",25769639
"DTI","DTI GROUP LTD","2014-12-09","Technology Hardware & Equipment",8971028
"DTL","DATA#3 LIMITED","1997-12-23","Software & Services",790267827
"DTM","DART MINING NL","2007-05-10","Materials",9834783
"DTR","DATELINE RESOURCES LIMITED","2011-06-23","Materials",46521342
"DTZ","DOTZ NANO LIMITED","2007-12-13","Semiconductors & Semiconductor Equipment",138610932
"DUB","DUBBER CORPORATION LIMITED","2000-06-30","Software & Services",312465725
"DUG","DUG TECHNOLOGY LTD","2020-08-12","Software & Services",62605395
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","1991-12-19","Not Applic",1058001467
"DUN","DUNDAS MINERALS LIMITED","2021-11-10","Materials",8124329
"DUR","DURATEC LIMITED","2020-11-04","Capital Goods",85403558
"DVL","DORSAVI LTD","2013-12-11","Pharmaceuticals, Biotechnology & Life Sciences",6015982
"DVP","DEVELOP GLOBAL LIMITED","2007-04-27","Materials",372015718
"DVR","DIVERGER LIMITED","2005-08-02","Diversified Financials",37612804
"DW8","DW8 LIMITED","2001-04-04","Retailing",71405995
"DXB","DIMERIX LIMITED","1993-02-04","Pharmaceuticals, Biotechnology & Life Sciences",44922313
"DXC","DEXUS CONVENIENCE RETAIL REIT","2017-07-27","Real Estate",445999189
"DXI","DEXUS INDUSTRIA REIT.","2013-12-03","Real Estate",1000579256
"DXN","DXN LIMITED","2018-04-11","Software & Services",10299204
"DXS","DEXUS","2004-10-06","Real Estate",11454769870
"DYL","DEEP YELLOW LIMITED","1985-12-19","Energy",271038744
"E25","ELEMENT 25 LIMITED","2006-11-09","Materials",96971084
"E2E","EON NRG LIMITED","2011-01-21","Energy","N/A"
"E2M","E2 METALS LIMITED","2017-04-19","Materials",35843818
"E33","EAST 33 LIMITED..","2021-07-29","Food, Beverage & Tobacco",17214420
"E79","E79 GOLD MINES LIMITED","2021-10-07","Materials",9110475
"EAI","ELLERSTON ASIAN INVESTMENTS LIMITED","2015-09-15","Not Applic",104980197
"EAX","ENERGY ACTION LIMITED","2011-10-13","Commercial & Professional Services",4048290
"EBG","EUMUNDI GROUP LIMITED","1989-12-07","Consumer Services",45905853
"EBO","EBOS GROUP LIMITED","2013-12-06","Health Care Equipment & Services",6656931268
"EBR","EBR SYSTEMS INC.","2021-11-24","Health Care Equipment & Services",126575809
"ECF","ELANOR COMMERCIAL PROPERTY FUND","2019-12-06","Real Estate",310087904
"ECG","ECARGO HOLDINGS LIMITED","2014-11-28","Commercial & Professional Services",10459250
"ECL","EXCELSIOR CAPITAL LTD","1993-04-22","Capital Goods",45811261
"ECP","ECP EMERGING GROWTH LIMITED","2014-08-14","Not Applic",20172997
"ECS","ECS BOTANICS HOLDINGS LTD","1986-03-13","Pharmaceuticals, Biotechnology & Life Sciences",23241344
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","1986-02-05","Commercial & Professional Services",36041285
"ECX","ECLIPX GROUP LIMITED","2015-04-22","Diversified Financials",726722421
"EDC","EILDON CAPITAL GROUP","2017-02-28","Diversified Financials",47202827
"EDE","EDEN INNOVATIONS LTD","2006-06-06","Energy",23161076
"EDU","EDU HOLDINGS LIMITED","2004-06-25","Consumer Services",19977456
"EDV","ENDEAVOUR GROUP LIMITED","2021-06-24","Food & Staples Retailing",13862185332
"EEG","EMPIRE ENERGY GROUP LIMITED","1984-08-30","Energy",165767495
"EER","EAST ENERGY RESOURCES LIMITED","2007-12-19","Energy","N/A"
"EFE","EASTERN RESOURCES LIMITED","2008-05-16","Materials",37788592
"EGG","ENERO GROUP LIMITED","2004-04-30","Media & Entertainment",265896223
"EGH","EUREKA GROUP HOLDINGS LIMITED","2004-07-01","Real Estate",147055643
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","1981-02-12","Capital Goods",67897248
"EGN","ENGENCO LIMITED","2006-12-14","Capital Goods",157747941
"EGR","ECOGRAF LIMITED","2010-10-29","Materials",177881716
"EGY","ENERGY TECHNOLOGIES LIMITED","1992-10-22","Capital Goods",13613761
"EHE","ESTIA HEALTH LIMITED","2014-12-05","Health Care Equipment & Services",554256281
"EHL","EMECO HOLDINGS LIMITED","2006-07-28","Capital Goods",412678447
"EIQ","ECHOIQ LIMITED","2010-12-17","Software & Services",47559926
"EL8","ELEVATE URANIUM LTD","1985-10-23","Energy",140502816
"ELD","ELDERS LIMITED","1981-06-30","Food, Beverage & Tobacco",2178153910
"ELE","ELMORE LTD","1998-02-25","Materials",28633977
"ELO","ELMO SOFTWARE LIMITED","2017-06-29","Software & Services",286567738
"ELS","ELSIGHT LIMITED","2017-06-08","Technology Hardware & Equipment",62290394
"ELT","ELEMENTOS LIMITED","2009-12-23","Materials",127323398
"EM1","EMERGE GAMING LIMITED","1971-06-09","Media & Entertainment",19060993
"EM2","EAGLE MOUNTAIN MINING LIMITED","2018-03-16","Materials",88855707
"EMB","EMBELTON LIMITED","1974-01-01","Capital Goods",22441713
"EMD","EMYRIA LIMITED","2020-02-12","Health Care Equipment & Services",79750716
"EME","ENERGY METALS LTD","2005-09-09","Energy",37742996
"EMH","EUROPEAN METALS HOLDINGS LIMITED","2012-07-19","Materials",180461210
"EML","EML PAYMENTS LIMITED","2006-01-18","Software & Services",519109839
"EMN","EURO MANGANESE INC","2018-10-02","Materials",136379287
"EMP","EMPEROR ENERGY LIMITED","1987-06-05","Energy",9445537
"EMR","EMERALD RESOURCES NL","1994-07-22","Materials",690485982
"EMS","EASTERN METALS LIMITED","2021-10-25","Materials",9544967
"EMT","EMETALS LIMITED","2010-10-26","Not Applic",10625000
"EMU","EMU NL","2008-02-27","Materials",8247217
"EMUCA","EMU NL","2008-02-27","Materials",8247217
